cultura,Finaluser,add
cultura,Finaluser,add
cultura,Finaluser,add
cultura,Finaluser,browse
cultura,Finaluser,delete
cultura,Finaluser,login
cultura,Finaluser,pay
cultura,Finaluser,pay
cultura,Finaluser,pay
cultura,Finaluser,pay
cultura,Finaluser,receive
cultura,Finaluser,receive
cultura,Finaluser,receive
cultura,Finaluser,search
cultura,Finaluser,search
cultura,Finaluser,subscribe
cultura,Finaluser,unsubscribe
cultura,Finaluser,update
cultura,Finaluser,update
cultura,Finaluser,update
cultura,Finaluser,view
cultura,Finaluser,view
cultura,Finaluser,view
MangaStore,Administrator,add
MangaStore,Administrator,delete
MangaStore,Administrator,delete
MangaStore,Administrator,manage
MangaStore,Administrator,update
MangaStore,Administrator,update
MangaStore,Administrator,view
MangaStore,Administrator,view
MangaStore,Administrator,view
MangaStore,Administrator,view
MangaStore,Contentcreator,add
MangaStore,Contentcreator,delete
MangaStore,Contentcreator,delete
MangaStore,Contentcreator,update
MangaStore,Contentdesigner,add
MangaStore,Contentdesigner,delete
MangaStore,Contentdesigner,update
MangaStore,Contentdesigner,update
MangaStore,Finaluser,login
MangaStore,Finaluser,subscribe
MangaStore,Finaluser,subscribe
MangaStore,Finaluser,view
MangaStore,Finaluser,view
MangaStore,Finaluser,view
MangaStore,Finaluser,view
MangaStore,Finaluser,view
MangaStore,Finaluser,view
MangaStore,Finaluser,view
MangaStore,Logisticsmanager,add
MangaStore,Logisticsmanager,add
MangaStore,Logisticsmanager,delete
MangaStore,Logisticsmanager,reject
MangaStore,Logisticsmanager,update
MangaStore,Logisticsmanager,update
MangaStore,Logisticsmanager,view
MangaStore,Logisticsmanager,view
MangaStore,Marketingmanager,add
MangaStore,Marketingmanager,add
MangaStore,Marketingmanager,delete
MangaStore,Marketingmanager,delete
MangaStore,Marketingmanager,update
MangaStore,Marketingmanager,update
MangaStore,Marketingmanager,view
mangahako,Administrator,add
mangahako,Contentcreator,add
mangahako,Contentcreator,delete
mangahako,Contentdesigner,update
mangahako,Customerrelationshipmanager,answer
mangahako,Finaluser,add
mangahako,Finaluser,browse
mangahako,Finaluser,contact
mangahako,Finaluser,contact
mangahako,Finaluser,delete
mangahako,Finaluser,login
mangahako,Finaluser,pay
mangahako,Finaluser,pay
mangahako,Finaluser,search
mangahako,Finaluser,subscribe
mangahako,Finaluser,update
mangahako,Finaluser,update
mangahako,Finaluser,update
mangahako,Finaluser,update
mangahako,Finaluser,view
mangahako,Finaluser,view
mangahako,Financialmanager,reject
